ID,Brand,Model,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Count,Engine,Power,Seats,Mileage
0,Maruti,Wagon R LXI CNG,2010,72000,CNG,Manual,1,998,58.16,5,26.6
1,Hyundai,Creta 1.6 CRDi SX Option,2015,41000,Diesel,Manual,1,1582,126.2,5,19.67
2,Honda,Jazz V,2011,46000,Petrol,Manual,1,1199,88.7,5,18.2
3,Maruti,Ertiga VDI,2012,87000,Diesel,Manual,1,1248,88.76,7,20.77
4,Audi,A4 New 2.0 TDI Multitronic,2013,40670,Diesel,Automatic,2,1968,140.8,5,15.2
5,Hyundai,EON LPG Era Plus Option,2012,75000,LPG,Manual,1,814,55.2,5,39.07
6,Nissan,Micra Diesel XV,2013,86999,Diesel,Manual,1,1461,63.1,5,23.08
7,Toyota,Innova Crysta 2.8 GX AT 8S,2016,36000,Diesel,Automatic,1,2755,171.5,8,11.36
8,Volkswagen,Vento Diesel Comfortline,2013,64430,Diesel,Manual,1,1598,103.6,5,20.54
9,Tata,Indica Vista Quadrajet LS,2012,65932,Diesel,Manual,2,1248,74,5,22.3
10,Maruti,Ciaz Zeta,2018,25692,Petrol,Manual,1,1462,103.25,5,21.56
11,Honda,City 1.5 V AT Sunroof,2012,60000,Petrol,Automatic,1,1497,116.3,5,16.8
12,Maruti,Swift VDI BSIV,2015,64424,Diesel,Manual,1,1248,74,5,25.2
13,Land Rover,Range Rover 2.2L Pure,2014,72000,Diesel,Automatic,1,2179,187.7,5,12.7
14,Land Rover,Freelander 2 TD4 SE,2012,85000,Diesel,Automatic,2,2179,115,5,0
15,Mitsubishi,Pajero Sport 4X4,2014,110000,Diesel,Manual,1,2477,175.56,7,13.5
16,Honda,Amaze S i-Dtech,2016,58950,Diesel,Manual,1,1498,98.6,5,25.8
17,Maruti,Swift DDiS VDI,2017,25000,Diesel,Manual,1,1248,74,5,28.4
18,Renault,Duster 85PS Diesel RxL Plus,2014,77469,Diesel,Manual,1,1461,83.8,5,20.45
19,Mercedes-Benz,New C-Class C 220 CDI BE Avantgare,2014,78500,Diesel,Automatic,1,2143,167.62,5,14.84
20,BMW,3 Series 320d,2014,32982,Diesel,Automatic,1,1995,190,5,22.69
21,Maruti,S Cross DDiS 200 Alpha,2015,55392,Diesel,Manual,2,1248,88.5,5,23.65
22,Audi,A6 2011-2015 35 TFSI Technology,2015,55985,Petrol,Automatic,1,1984,177.01,5,13.53
23,Hyundai,i20 1.2 Magna,2010,45807,Petrol,Manual,1,1197,80,5,18.5
24,Volkswagen,Vento Petrol Highline AT,2010,33000,Petrol,Automatic,1,1598,103.6,5,14.4
25,Honda,City Corporate Edition,2012,51920,Petrol,Manual,1,1497,116.3,5,16.8
26,Nissan,Micra Diesel XV,2012,54000,Diesel,Manual,1,1461,63.1,5,23.08
27,Maruti,Alto K10 2010-2014 VXI,2013,54000,Petrol,Manual,2,998,67.1,5,20.92
28,Honda,WRV i-VTEC VX,2018,37430,Petrol,Manual,1,1199,88.7,5,17.5
29,Toyota,Innova 2.5 V Diesel 7-seater,2007,262000,Diesel,Manual,4,2494,102,7,12.8
30,Renault,Duster 110PS Diesel RxZ Pack,2013,62000,Diesel,Manual,1,1461,108.45,5,19.01
31,Toyota,Corolla Altis G,2012,87615,Petrol,Manual,1,1798,138.1,5,14.53
32,Mahindra,Ssangyong Rexton RX7,2013,72000,Diesel,Automatic,2,2696,184,7,11.18
33,Audi,A6 2.7 TDI,2010,35000,Diesel,Automatic,1,2698,179.5,5,12.4
34,Volkswagen,Vento 1.6 Highline,2014,55431,Petrol,Manual,2,1598,103.5,5,16.09
35,Maruti,Wagon R LXI BSIII,2009,83816,Petrol,Manual,2,1061,64,5,14
36,Maruti,Vitara Brezza ZDi Plus,2018,50075,Diesel,Manual,1,1248,88.5,5,24.3
37,Mahindra,KUV 100 mFALCON G80 K6 5str AW,2017,52000,Petrol,Manual,1,1198,82,5,18.15
38,Mercedes-Benz,M-Class ML 350 CDI,2013,85000,Diesel,Automatic,1,2987,254.8,5,11.74
39,Volkswagen,Polo Diesel Trendline 1.2L,2013,62000,Diesel,Manual,1,1199,73.9,5,22.07
40,Maruti,Alto LXi,2008,90000,Petrol,Manual,2,796,46.3,5,19.7
41,Tata,Nano LX SE,2014,19698,Petrol,Manual,1,624,37.5,4,25.4
42,Mahindra,KUV 100 mFALCON D75 K8 Dual Tone,2017,22033,Diesel,Manual,1,1198,77,6,25.32
43,Hyundai,i20 Magna Optional 1.2,2014,35487,Petrol,Manual,1,1197,82.9,5,18.5
44,Hyundai,Elantra 2.0 SX Option AT,2014,46374,Petrol,Automatic,1,1999,149.92,5,14.62
45,Toyota,Corolla Altis G AT,2016,52001,Petrol,Automatic,1,1798,138.03,5,14.28
46,Hyundai,Elantra CRDi,2008,58005,Diesel,Manual,2,1991,112.2,5,14.9
47,Toyota,Innova Crysta 2.7 GX MT,2012,70704,Petrol,Manual,1,2694,163.7,7,11.25
48,Hyundai,Xcent 1.1 CRDi S,2014,75000,Diesel,Manual,1,1120,71,5,24.4
49,Mahindra,Thar CRDe AC,2012,75800,Diesel,Manual,2,2498,105,6,16.55
50,Audi,A4 2.0 TDI 177 Bhp Premium Plus,2015,13648,Diesel,Automatic,1,1968,174.33,5,17.11
51,Maruti,Swift LDI,2014,52000,Diesel,Manual,1,1248,74,5,22.9
52,Maruti,Swift Ldi BSIV,2014,53000,Diesel,Manual,1,1248,75,5,17.8
53,Maruti,Swift VDI,2013,65650,Diesel,Manual,1,1248,74,5,28.4
54,Hyundai,Grand i10 Sportz,2015,54000,Petrol,Manual,3,1197,82,5,18.9
55,Volkswagen,Vento 2013-2015 1.6 Comfortline,2015,39000,Petrol,Manual,1,1598,103.2,5,15.04
56,Renault,KWID RXT,2017,16542,Petrol,Manual,1,799,53.3,5,25.17
57,Hyundai,i10 Asta,2010,32000,Petrol,Manual,1,1197,78.9,5,20.36
58,Nissan,X-Trail SLX AT,2010,121812,Diesel,Automatic,1,1995,147.6,5,13.29
59,Maruti,Zen Estilo VXI BSIII,2010,39300,Petrol,Manual,1,998,67.1,5,18.2
60,Toyota,Innova Crysta 2.4 GX MT 8S,2017,22000,Diesel,Manual,1,2393,147.8,8,13.68
61,Ford,Figo Diesel Titanium,2010,72000,Diesel,Manual,1,1399,68,5,20
62,Mercedes-Benz,New C-Class C 200 CGI Avantgarde,2015,58000,Petrol,Automatic,1,1796,186,5,11.74
63,Mercedes-Benz,New C-Class 200 CDI Classic,2011,65000,Diesel,Manual,2,2148,170,5,15.8
64,Tata,Indica V2 eLS,2016,178000,Diesel,Manual,1,1396,69,5,25
65,Audi,A4 2.0 TDI Multitronic,2012,65664,Diesel,Automatic,1,1968,140,5,16.55
66,Honda,City ZX CVT,2007,63000,Petrol,Automatic,2,1497,78,5,16.4
67,Mercedes-Benz,C-Class Progressive C 220d,2019,15369,Diesel,Automatic,1,1950,194,5,0
68,Maruti,Ertiga SHVS VDI,2016,63000,Diesel,Manual,1,1248,88.5,7,24.52
69,Hyundai,Creta 1.4 E Plus Diesel,2018,13000,Diesel,Manual,1,1396,88.7,5,22.1
70,Porsche,Cayenne 2009-2014 Turbo,2008,73000,Petrol,Automatic,1,4806,500,5,8.5
71,Mahindra,XUV500 W8 4WD,2015,55729,Diesel,Manual,1,2179,140,7,15.1
72,Hyundai,i10 Sportz 1.2 AT,2012,45178,Petrol,Automatic,1,1197,78.9,5,16.95
73,Nissan,Terrano XV D Pre,2015,56066,Diesel,Manual,1,1461,108.5,5,19.64
74,Honda,Brio VX AT,2016,37300,Petrol,Automatic,2,1198,86.8,5,16.5
75,Audi,A6 2.0 TDI Design Edition,2014,56000,Diesel,Automatic,2,1968,187.74,5,18.53
76,Ford,Fiesta 1.4 SXi TDCi,2008,111111,Diesel,Manual,1,1399,,5,17.8
77,Toyota,Innova 2.0 G1,2006,230000,Petrol,Manual,3,1998,132,8,12.4
78,Toyota,Innova 2.5 VX 7 STR BSIV,2012,104000,Diesel,Manual,1,2494,102,7,12.8
79,Hyundai,Santro Xing XL,2005,87591,Petrol,Manual,1,1086,,5,0
80,Maruti,Swift VDI,2012,95100,Diesel,Manual,1,1248,74,5,22.9
81,Tata,Zest Revotron 1.2T XE,2017,70000,Petrol,Manual,1,1193,88.7,5,17.57
82,Honda,Amaze SX i-VTEC,2016,54944,Petrol,Manual,1,1198,86.7,5,18
83,Ford,Figo Diesel ZXI,2012,70337,Diesel,Manual,1,1399,68,5,20
84,Maruti,Ritz VDi,2013,99638,Diesel,Manual,1,1248,73.94,5,23.2
85,Honda,City i VTEC E,2009,52000,Petrol,Manual,1,1497,117.3,5,17.8
86,BMW,5 Series 2003-2012 525d,2011,75000,Diesel,Automatic,2,1995,218,5,16.73
87,Hyundai,i10 Sportz 1.2,2009,95980,Petrol,Manual,1,1197,78.9,5,20.36
88,Hyundai,Grand i10 Sportz,2016,16000,Petrol,Manual,1,1197,82,5,18.9
89,Hyundai,Santro Xing XO,2007,73745,Petrol,Manual,1,1086,,5,17
90,Honda,Amaze SX i-VTEC,2016,18949,Petrol,Manual,1,1198,86.7,5,17.8
91,Toyota,Fortuner 4x2 Manual,2014,107000,Diesel,Manual,1,2982,168.5,7,13
92,Audi,A6 2011-2015 35 TDI Premium,2018,48367,Diesel,Automatic,1,1968,174.33,5,17.68
93,Ford,Ecosport 1.5 DV5 MT Titanium Optional,2013,57000,Diesel,Manual,1,1498,89.84,5,22.7
94,Mahindra,XUV500 W8 2WD,2014,58000,Diesel,Manual,1,2179,140,7,15.1
95,Honda,Amaze SX i-DTEC,2015,30000,Diesel,Manual,1,1498,98.6,5,25.8
96,Volkswagen,Polo Diesel Highline 1.2L,2013,34212,Diesel,Manual,1,1199,73.9,5,22.07
97,Hyundai,Verna Transform SX VGT CRDi,2010,70002,Diesel,Manual,1,1493,110,5,16.2
98,Maruti,Wagon R VXI BS IV,2016,62000,Petrol,Manual,1,998,67.1,5,18.9
99,Volkswagen,Polo Petrol Highline 1.6L,2010,62001,Petrol,Manual,1,1598,103.5,5,15.26
100,Hyundai,i20 1.4 CRDi Sportz,2011,78958,Diesel,Manual,2,1396,90,5,23
101,Hyundai,i20 Asta 1.2,2014,30180,Petrol,Manual,1,1197,82.85,5,18.5
102,Datsun,GO Plus T Petrol,2017,32851,Petrol,Manual,1,1198,67,7,19.83
103,Audi,A4 3.0 TDI Quattro Premium,2010,30000,Diesel,Automatic,1,2967,241.4,5,14.94
104,Hyundai,i20 2015-2017 Asta,2009,66000,Petrol,Manual,2,1197,80,5,17
105,Maruti,Omni 5 Str STD,2010,93850,Petrol,Manual,1,796,35,5,14
106,Toyota,Etios Liva 1.2 G,2014,53000,Petrol,Manual,1,1197,78.9,5,17.71
107,Jaguar,XF 3.0 Litre S Premium Luxury,2011,78000,Diesel,Automatic,2,2993,270.9,5,14.74
108,Mahindra,XUV500 W8 2WD,2012,65000,Diesel,Manual,2,2179,140,7,16
109,Hyundai,Verna 1.6 SX CRDI (O) AT,2014,40000,Diesel,Automatic,1,1582,126.32,5,22.32
110,Toyota,Innova Crysta 2.8 ZX AT,2017,30000,Diesel,Automatic,1,2755,171.5,7,11.36
111,Maruti,Eeco 5 Seater AC,2017,38053,Petrol,Manual,1,1196,73,5,15.1
112,Tata,Nano Twist XT,2014,25500,Petrol,Manual,1,624,37.5,4,25.4
113,BMW,3 Series 320d Luxury Line,2015,56087,Diesel,Automatic,1,1995,190,5,22.69
114,Honda,Civic 2006-2010 1.8 V MT,2010,71088,Petrol,Manual,1,1799,130,5,13.5
115,Toyota,Innova 2.5 VX (Diesel) 7 Seater,2014,55000,Diesel,Manual,1,2494,100.6,7,12.99
116,Volvo,V40 Cross Country D3,2014,32700,Diesel,Automatic,1,1984,150,5,23.3
117,Nissan,Micra XV CVT,2016,39882,Petrol,Automatic,1,1198,75.94,5,19.15
118,BMW,5 Series 2010-2013 525i,2009,128000,Petrol,Automatic,1,2497,215,5,10.8
119,Maruti,Vitara Brezza VDi,2016,55000,Diesel,Manual,1,1248,88.5,5,24.3
120,Hyundai,Santro Xing XL eRLX Euro III,2005,102000,Petrol,Manual,2,1086,,5,17
121,Mercedes-Benz,B Class B200 CDI,2014,53753,Diesel,Automatic,2,2143,107.3,5,15
122,Hyundai,Verna CRDi 1.6 SX Option,2018,10250,Diesel,Manual,1,1582,126.2,5,22
123,Maruti,Wagon R LXI BS IV,2011,43874,Petrol,Manual,1,998,67.1,5,18.9
124,Tata,Nano XTA,2017,32684,Petrol,Automatic,1,624,37.48,4,21.9
125,Mahindra,Scorpio VLX,2014,42000,Diesel,Manual,1,2179,120,8,12.05
126,Mercedes-Benz,New C-Class 200 K AT,2009,28352,Petrol,Automatic,1,1796,178,5,11.7
127,Maruti,Wagon R LXI CNG,2013,89900,CNG,Manual,1,998,58.16,5,26.6
128,Honda,CR-V 2.4 MT,2007,47700,Petrol,Manual,2,2354,152,5,10.8
129,Volkswagen,Vento 1.5 TDI Comfortline AT,2015,55000,Diesel,Automatic,1,1498,103.2,5,21.21
130,Maruti,Ciaz VXi Plus,2017,44285,Petrol,Manual,1,1373,91.1,5,20.73
131,Mahindra,XUV500 AT W10 FWD,2016,54000,Diesel,Automatic,1,2179,140,7,16
132,Maruti,Ritz VXI ABS,2016,30232,Petrol,Manual,1,1197,85.8,5,21.1
133,Maruti,Alto K10 VXI,2014,88500,Petrol,Manual,1,998,67.1,5,24.07
134,Mercedes-Benz,SLC 43 AMG,2017,13372,Petrol,Automatic,1,2996,362.07,2,19
135,Hyundai,Verna VTVT 1.6 AT SX Plus,2019,12645,Petrol,Automatic,1,1591,121.3,5,17
136,Maruti,Alto LXi BSIII,2010,94385,Petrol,Manual,2,796,46.3,5,19.7
137,BMW,1 Series 118d Base,2015,31821,Diesel,Automatic,1,1995,143,5,20.58
138,Honda,Jazz 1.2 V CVT i VTEC,2015,12000,Petrol,Automatic,1,1199,88.7,5,19
139,Honda,Civic 2006-2010 1.8 V MT,2012,88578,Petrol,Manual,1,1799,130,5,13.5
140,Mercedes-Benz,New C-Class C 220 CDI Avantgarde,2014,44965,Diesel,Automatic,1,2143,170,5,19.27
141,Honda,Amaze SX i-DTEC,2014,45044,Diesel,Manual,1,1498,98.6,5,25.8
142,Maruti,Swift VVT VXI,2016,34204,Petrol,Manual,1,1197,81.8,5,22
143,Hyundai,Santro Xing XO eRLX Euro II,2008,80759,Petrol,Manual,3,1086,,5,17
144,Toyota,Fortuner 3.0 Diesel,2012,91235,Diesel,Manual,1,2982,171,7,11.5
145,Chevrolet,Beat LT Option,2014,38800,Petrol,Manual,1,1199,76.8,5,18.6
146,Skoda,Rapid 1.5 TDI Elegance,2013,83000,Diesel,Manual,1,1498,103.52,5,21.14
147,Maruti,Ciaz 1.4 Alpha,2018,41283,Petrol,Manual,1,1373,91.1,5,20.73
148,Audi,RS5 Coupe,2013,23000,Petrol,Automatic,1,2894,444,4,11.05
149,BMW,3 Series Luxury Line,2014,48000,Diesel,Automatic,1,1995,190,5,21.76
150,Audi,A4 2.0 TDI 177 Bhp Premium Plus,2015,48214,Diesel,Automatic,1,1968,174.33,5,17.11
151,Maruti,Swift VDI,2016,35000,Diesel,Manual,1,1248,74,5,22.9
152,Mercedes-Benz,S Class 2005 2013 S 500,2010,35277,Petrol,Automatic,1,5461,362.9,5,7.81
153,Skoda,Rapid 1.5 TDI AT Elegance Plus Black Package,2016,54620,Diesel,Automatic,1,1498,103.52,5,21.66
154,Skoda,Superb Elegance 2.0 TDI CR AT,2012,136997,Diesel,Automatic,1,1968,138.1,5,17.2
155,Hyundai,EON Magna Plus,2019,14322,Petrol,Manual,1,814,55.2,5,21.1
156,Volkswagen,Polo Diesel Trendline 1.2L,2012,65634,Diesel,Manual,1,1199,73.9,5,22.07
157,Datsun,GO NXT,2016,6000,Petrol,Manual,1,1198,67.06,5,20.63
158,Honda,Brio S MT,2013,33280,Petrol,Manual,1,1198,86.8,5,19.4
159,Mercedes-Benz,B Class B180,2013,29000,Petrol,Automatic,1,1595,120.7,5,14.8
160,Honda,City i DTEC V,2015,42831,Diesel,Manual,1,1498,98.6,5,26
161,Toyota,Innova 2.5 G (Diesel) 7 Seater,2016,90000,Diesel,Manual,1,2494,100.6,7,12.99
162,Maruti,Swift VXI Optional,2017,24005,Petrol,Manual,1,1197,81.8,5,20.4
163,Mahindra,XUV500 W8 2WD,2012,32792,Diesel,Manual,1,2179,140,7,15.1
164,Ford,Ecosport 1.5 DV5 MT Ambiente,2014,147898,Diesel,Manual,1,1498,89.84,5,22.7
165,Toyota,Fortuner 4x2 Manual,2012,131765,Diesel,Manual,1,2982,168.5,7,13
166,Volkswagen,Vento 1.5 Highline Plus AT 16 Alloy,2013,65000,Diesel,Automatic,1,1498,108.5,5,21.5
167,Ford,Figo Diesel Titanium,2010,66123,Diesel,Manual,2,1399,68,5,20
168,BMW,X5 xDrive 30d,2015,41000,Diesel,Automatic,1,2993,258,5,15.3
169,Mercedes-Benz,New C-Class C 220 CDI Style,2017,23550,Diesel,Automatic,1,2143,167.62,5,19.27
170,Honda,Brio V MT,2012,45000,Petrol,Manual,2,1198,86.8,5,19.4
171,Hyundai,i10 Magna 1.2,2013,60000,Petrol,Manual,1,1197,78.9,5,20.36
172,Mercedes-Benz,GLC 220,2016,44414,Diesel,Automatic,1,2143,170,5,17.9
173,Hyundai,Grand i10 1.2 Kappa Asta,2019,1000,Petrol,Manual,1,1197,81.86,5,18.9
174,Audi,A6 2011-2015 2.0 TDI Premium Plus,2012,62500,Diesel,Automatic,2,1968,174.33,5,17.68
175,Volkswagen,Vento Petrol Highline AT,2013,21000,Petrol,Automatic,2,1598,103.6,5,14.4
176,Mini,Countryman Cooper D,2017,8525,Diesel,Automatic,2,1998,112,5,16.6
177,Hyundai,i20 Asta 1.4 CRDi,2014,29000,Diesel,Manual,1,1396,88.73,5,22.54
178,Audi,A6 2011-2015 2.0 TDI Premium Plus,2014,40000,Diesel,Automatic,1,1968,174.33,5,17.68
179,Chevrolet,Beat Diesel LT,2012,88000,Diesel,Manual,1,936,57.6,5,25.44
180,Skoda,Superb Elegance 1.8 TSI AT,2012,53537,Petrol,Automatic,1,1798,157.75,5,13.7
181,Ford,Fiesta 1.4 TDCi EXI Limited Edition,2006,216000,Diesel,Manual,2,1399,68,5,17.8
182,BMW,5 Series 520d Luxury Line,2014,51000,Diesel,Automatic,1,1995,190,5,22.48
183,Chevrolet,Optra Magnum 1.6 LS BS3,2007,118500,Petrol,Manual,1,1598,102.5,5,12.9
184,Volkswagen,Polo Diesel Highline 1.2L,2012,63000,Diesel,Manual,1,1199,73.9,5,22.07
185,Renault,Lodgy 110PS RxZ 8 Seater,2015,25000,Diesel,Manual,1,1461,108.5,8,19.98
186,Mercedes-Benz,E-Class E250 CDI Avantgrade,2014,37382,Diesel,Automatic,1,2143,201.1,5,13
187,Maruti,Baleno Alpha,2017,24773,Petrol,Manual,1,1197,83.1,5,21.4
188,Hyundai,Verna 1.6 SX,2012,62000,Diesel,Manual,1,1582,126.32,5,22.32
189,Hyundai,i10 Magna 1.1,2017,52340,Petrol,Manual,1,1086,68.05,5,19.81
190,Mahindra,Scorpio 1.99 S10 4WD,2016,56739,Diesel,Manual,1,1997,120,7,15.4
191,Land Rover,Range Rover 2.2L Dynamic,2018,36091,Diesel,Automatic,1,2179,187.7,5,12.7
192,Ford,Figo Diesel ZXI,2010,120000,Diesel,Manual,1,1399,68,5,20
193,Maruti,Ertiga ZDI,2016,33000,Diesel,Manual,1,1248,88.5,7,25.47
194,Honda,City 1.5 GXI,2007,60006,Petrol,Manual,1,,,,0
195,Honda,Amaze S i-Dtech,2014,52000,Diesel,Manual,1,1498,98.6,5,25.8
196,Hyundai,i10 Magna,2015,43571,Petrol,Manual,1,1197,78.9,5,20.36
197,Honda,Amaze S i-Dtech,2013,50000,Diesel,Manual,1,1498,98.6,5,25.8
198,Skoda,Laura Ambiente,2008,113000,Diesel,Manual,1,1896,106,5,17.5
199,Renault,Duster 85PS Diesel RxL,2014,90000,Diesel,Manual,1,1461,83.8,5,19.87
200,Mahindra,NuvoSport N6,2017,29000,Diesel,Manual,2,1493,100,7,17.45
201,Maruti,Vitara Brezza ZDi Plus Dual Tone,2016,20000,Diesel,Manual,1,1248,88.5,5,24.3
202,Hyundai,i20 Asta Option 1.2,2016,61012,Petrol,Manual,1,1197,81.83,5,18.6
203,Skoda,Fabia 1.4 MPI Ambiente,2009,87459,Petrol,Manual,1,1390,85,5,14.7
204,Tata,Indigo eCS GLX,2010,70500,Petrol,Manual,1,1193,64.1,5,15.64
205,Audi,Q3 2012-2015 35 TDI Quattro Premium Plus,2015,64103,Diesel,Automatic,1,1968,174.33,5,15.73
206,Skoda,Octavia Elegance 1.8 TSI AT,2014,76000,Petrol,Automatic,1,1798,177.5,5,14.7
207,Toyota,Etios Liva GD SP,2014,104000,Diesel,Manual,1,1364,67.06,5,23.59
208,Maruti,Swift 1.3 VXi,2010,42001,Petrol,Manual,1,,,,16.1
209,Mercedes-Benz,B Class B180,2014,37245,Petrol,Automatic,1,1595,120.7,5,14.8
210,Honda,Amaze S Diesel,2013,45000,Diesel,Manual,1,1498,98.6,5,27.4
211,Hyundai,Verna 1.6 SX,2012,117837,Diesel,Manual,2,1582,126.32,5,22.32
212,Renault,Duster 85PS Diesel RxL Optional,2014,30000,Diesel,Manual,1,1461,83.8,5,20.46
213,Hyundai,Creta 1.6 VTVT S,2015,27057,Petrol,Manual,2,1591,121.3,5,15.29
214,Maruti,Wagon R AMT VXI,2016,8500,Petrol,Automatic,1,998,67,5,20.51
215,Mercedes-Benz,New C-Class C250 Avantgarde,2010,30500,Petrol,Automatic,1,1796,186,5,11.74
216,Audi,A8 L 3.0 TDI quattro,2012,56000,Diesel,Automatic,1,2967,246.7,5,11.8
217,Hyundai,i10 Magna 1.1,2012,44000,Petrol,Manual,2,1086,68.05,5,19.81
218,Skoda,Rapid 1.6 MPI AT Style Black Package,2017,10500,Petrol,Automatic,1,1598,103.52,5,14.3
219,Skoda,Superb Style 1.8 TSI AT,2017,26000,Petrol,Automatic,1,1798,177.46,5,14.67
220,Hyundai,i20 Active 1.2 SX,2018,25166,Petrol,Manual,1,1197,81.86,5,17.19
221,Honda,Amaze VX i-DTEC,2014,64000,Diesel,Manual,2,1498,98.6,5,25.8
222,Maruti,Wagon R LXI,2004,61000,Petrol,Manual,2,998,67.1,5,18.9
223,Mahindra,Verito 1.5 D4 BSIV,2013,107000,Diesel,Manual,1,1461,65,5,21.03
224,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C,2018,29161,Diesel,Automatic,1,2143,167.62,5,19.27
225,Maruti,Wagon R VXI,2013,32000,Petrol,Manual,1,998,67.04,5,22.5
226,Nissan,Terrano XV Premium 110 PS Anniversary Edition,2015,46173,Diesel,Manual,2,1461,108.5,5,19.01
227,Maruti,Swift VDI BSIV,2013,47000,Diesel,Manual,1,1248,,5,17.8
228,Mini,Cooper Convertible S,2017,26327,Petrol,Automatic,1,1998,189.08,4,16.82
229,Ford,Figo Diesel,2015,70436,Diesel,Manual,1,1498,99,,0
230,Tata,Indica V2 DLS BSII,2007,200000,Diesel,Manual,2,1396,53.5,5,17.2
231,Chevrolet,Beat LT,2016,60813,Petrol,Manual,2,1199,76.8,5,18.6
232,Volkswagen,Polo Diesel Comfortline 1.2L,2012,45000,Diesel,Manual,1,1199,73.9,5,22.07
233,Maruti,Swift ZDi,2016,64000,Diesel,Manual,1,1248,74,5,22.9
234,Ford,Figo Diesel EXI,2012,41284,Diesel,Manual,1,1399,68.05,5,20
235,Toyota,Innova Crysta 2.8 GX AT,2019,14165,Diesel,Automatic,1,2755,171.5,7,11.36
236,Hyundai,Santa Fe 4x4 AT,2011,67000,Diesel,Automatic,2,2199,194.3,7,11.72
237,Honda,City i-VTEC V,2011,32572,Petrol,Manual,1,1497,117.3,5,17.4
238,Hyundai,i20 1.2 Magna Executive,2018,14960,Petrol,Manual,1,1197,81.83,5,18.6
239,Mercedes-Benz,New C-Class C 220d Avantgarde Edition C,2015,55980,Diesel,Automatic,1,2143,167.62,5,19.27
240,Chevrolet,Beat Diesel LT,2013,74000,Diesel,Manual,1,936,57.6,5,25.44
241,Hyundai,i20 Sportz 1.4 CRDi,2015,56847,Diesel,Manual,1,1396,88.73,5,22.54
242,Toyota,Innova 2.5 Z Diesel 7 Seater,2015,121374,Diesel,Manual,1,2494,100.6,7,12.99
243,Maruti,Ertiga VDI,2013,52000,Diesel,Manual,1,1248,88.76,7,20.77
244,Toyota,Innova 2.5 V Diesel 7-seater,2014,118000,Diesel,Manual,1,2494,102,7,12.8
245,Hyundai,Santro Xing XO eRLX Euro II,2007,72000,Petrol,Manual,3,1086,,5,17
246,Honda,City i VTEC V,2016,33915,Petrol,Manual,1,1497,117.3,5,17.8
247,BMW,X1 sDrive20d,2014,82002,Diesel,Automatic,1,1995,184,5,17.05
248,Hyundai,Grand i10 CRDi Era,2017,33000,Diesel,Manual,1,1120,70,5,24
249,Maruti,Ciaz 1.3 Alpha,2016,34000,Diesel,Manual,1,1248,88.5,5,28.09
250,Skoda,Rapid Leisure 1.6 TDI MT,2012,55000,Diesel,Manual,1,1598,103.6,5,20.5
251,Hyundai,Accent CRDi,2006,160538,Diesel,Manual,1,1493,82,5,13.1
252,Volkswagen,Polo GT 1.5 TDI,2014,60000,Diesel,Manual,2,1498,103.6,5,19.91
253,Honda,Jazz 1.2 VX i VTEC,2017,49575,Petrol,Manual,1,1199,88.7,5,18.7
254,Hyundai,i10 Era,2010,83000,Petrol,Manual,1,1086,68.05,5,19.81
255,Hyundai,Tucson 2.0 e-VGT 2WD AT GLS,2018,51346,Diesel,Automatic,1,1995,183,5,16.38
